Word,Meaning,Example_EN,Example_CN
callow,??????,Mark was just a callow youth of 16 when he arrived in Paris,????????????????16???
engender,??,Her latest book has engendered a lot of controversy,???????????
inchoate,???,She had a child's inchoate awareness of language / The ideas expressed in Nietzche?s mature work also appear in an inchoate form in his earliest writing,?????????????
incipient,???,signs of incipient public frustration,???????????????
nascent,????,a nascent political party,??????
acerbic,???,The letters show the acerbic wit for which Parker was both admired and feared,???????????????????????????????
acidulous,???,an acidulous portrait of the candidate,?????????????
acrimonious,???/???,Their marriage ended eight years ago in an acrimonious divorce / You are liable to face acrimonious reprisals from your enemy once you stepped down from your office,??????????????????? / ??????????????????
asperity,??/??,the asperity of her manner,??????
caustic,???,She's famous in the office for her caustic wit / caustic comments,????????????????? / ?????
mordacious,???,,
mordant,???,mordant wit/humour / a mordant remark,????????? / ?????
trenchant,???,"His most trenchant criticism is reserved for the party leader, whom he describes as ""the most incompetent and ineffectual the party has known""",??????????????????????????????????????
audacious,???,He described the plan as ambitious and audacious,???????????????
courageous,???,It was a courageous decision to resign in protest at the company's pollution record,???????????????????????
dauntless,???,"In spite of the scale of the famine, the relief workers struggled on with dauntless optimism",?????????????????????????????????????
appalled,???,an appalled silence/fascination,??????/??
abjure/abjured,????,He abjured his religion/his life of dissipation,???????????????????
befuddlement,??,,
chagrin,??/??,"My children have never shown an interest in music, much to my chagrin",???????????????????????
bemusement/bemusing,??,He scratched his head in bemusement as the figures were read out,???????????????????
resentment,??/??,He harbours a deep resentment against his parents for his miserable childhood,????????????????????
altruism/altruistic,????,She's not known for her altruism,??????????
malfeasance,??,Several cases of malpractice and malfeasance in the financial world are currently being investigated.,????????????????????
ingratitude,????,,
nepotism,????,He was guilty of nepotism and corruption,??????????
quip,???,It was Oscar Wilde who made the famous quip about life mimicking art,????????????????????????
supercilious,???,"He spoke in a haughty, supercilious voice",?????????????
coarse,???,coarse sand/breadcrumbs,??????
fatuous,???,a fatuous idea,?????
ribald,???,He entertained us with ribald stories,???????????????
sardonic,???,a sardonic smile/look/comment,?????????????????
patronize,??/?????????,Stop patronizing me - I understand the play as well as you do,??????????????????????????
snub,??,I think she felt snubbed because Anthony hadn't bothered to introduce himself,????????????????????????
bland,?????,I find chicken a little bland,????????
toothsome,???,,
ignominious,????,an ignominious defeat/failure/retreat,???????????????????
inconspicuous,????,This type of bird is very inconspicuous because of its dull feathers,??????????????
obscurity/obscure,??/??,He was briefly famous in his twenties but then sank into obscurity,??20????????????????????
fraudulent,??,A worrying trend for insurers has been a rise in fraudulent claims,?????????????????????
apocryphal,???,an apocryphal story,?????
acumen,??,She has considerable business/financial acumen,?????????????
acridity,??,,
trenchancy,???,She had a reputation for cool trenchancy,??????????
dexterity,??,He caught the ball with great dexterity,??????????
mellifluous,????,a deep mellifluous voice,???????
laconic,???,She had a laconic wit,???????
euphonic/euphonious,???,,
strident,???,People are put off by his strident voice,????????????
banal,??,He just sat there making banal remarks all evening,????????????????
hackneyed,???,The plot of the film is just a hackneyed boy-meets-girl scenario,????????????????????
insipid,???,a pale insipid wine,????????
mundane,???/???,Mundane matters such as paying bills and shopping for food do not interest her,?????????????????
pedestrian,??/???,His speech was long and pedestrian,????????
platitude,????,He doesn't mouth platitudes about it not mattering who scores as long as the team wins,???????????;??????????????
quotidian,???,Television has become part of our quotidian existence,???????????????
trite,???,His lyrics about love and peace are too trite for me to take them seriously,??????????????????????????
bacchanalian,????,a bacchanalian orgy,?????
debauchery,????,a life of debauchery,?????
depraved,????,a depraved character/mind,???????
dissipated,???,He recalled his dissipated youth spent in nightclubs and bars,??????????????????????
iniquity,????,They fought long and hard against the iniquities of apartheid,???????????????????????
libertine,????,,
libidinous,???,,
licentious,???,,
reprobate,???,"Every time I see you, you're drunk, you old reprobate!",????????????????????
salacious,???,,
sordid,???,There are lots of really sordid apartments in the city's poorer areas.,?????????????????
turpitude,??,acts/crimes of moral turpitude,??????????
circuitous,???,a circuitous route/path,????
erratic,???,He drove in an erratic course down the road,?????????????
extirpate,??,The new federal prosecutor promised voters that he would extirpate corruption in the state,
pivotal,????,a pivotal figure/role/idea,??????????
detritus,??,The stadium was littered with the detritus of yesterday's concert,?????????????????????
gaudiness,??,People were dressed in clothes of quite extraordinary gaudiness,?????????
bedlam,??,It was bedlam at the football stadium after the match was suspended,??????????????
refuse,??,garden/kitchen refuse,????????
barrenness,??,A short drive through the countryside reveals vast swathes of barrenness,??????????????????????
punctilious,????,He was always punctilious in his manners,??????????
vociferous,?????,Local activist groups have become increasingly vociferous as the volume of traffic passing through the village has increased,???????????????????????????????
waggish,???,"The piece, as one waggish writer put it, ""begins like Bach and ends like Offenbach.""",????????????????????????????????????
vicious,???,a vicious thug,?????
scathing,????,scathing criticism,?????
lighthearted,??,,
elusive,????,The answers to these questions remain as elusive as ever,??????????????
articulation,?????,,
demeanour,??/????,There was nothing in his demeanour that suggested he was anxious,????????????????
mien,??,His aristocratic mien and expensive clothes singled him out,???????????????????
repudiation/repudiate,??,They were surprised by his sudden repudiation of all his former beliefs,?????????????????????
vindicate,????,The decision to include Morris in the team was completely vindicated when he scored two goals,?????????????????????????
capricious,????,a capricious child,?????
mercurial,????,a mercurial temperament,?????
volatile,????,Food and fuel prices are very volatile in a war situation,????????????????
counterpart,????,The prime minister is to meet his European counterparts to discuss the war against drugs,??????????????????????
emulate,??,They hope to emulate the success of other software companies,???????????????????
facsimile,???,a facsimile of the original manuscript,????????
factitious,???,The excitement was largely factitious and confined to the media,????????????????????
paradigm,??,Some of these educators are hoping to produce a change in the current cultural paradigm,???????????????????
precursor,??/??,Sulphur dioxide is the main precursor of acid rain / Biological research has often been a precursor to medical breakthroughs,????????????????? / ???????????????
quintessence,??,An American football game is the quintessence of machismo,???????????????
simulate,??,"In cheap furniture, plastic is often used to simulate wood",?????????????
vicarious,?????,She took a vicarious pleasure in her friend's achievements,???????????
aspersion,????,"The Republic of Singapore is a young democracy, and its leaders often respond strongly to journalists and others who cast aspersions on their integrity",
belittle,??,"Though she had spent hours fixing the computer, he belittled her efforts",??????????????????????
berate,??,"As he left the meeting, he was berated by angry demonstrators",?????????????????
calumny,??,"He was subjected to the most vicious calumny, but he never complained and never sued",?????????????????????
castigate,??/??,Health inspectors castigated the kitchen staff for poor standards of cleanliness,?????????????????????????
decry,??,Lawyers decried the imprisonment of several journalists,????????????????
defamation/defame,??,He is suing for defamation of character,?????????????
denounce,??,The government's economic policy has been denounced on all sides,????????????????
deride/derisive,??,He derided my singing as pathetic,????????????
diatribe,??,He launched into a long diatribe against the lack of action in Congress,?????????????????
disparage,??,The actor's work for charity has recently been disparaged in the press as an attempt to get publicity,????????????????????????
excoriate,??,His latest novel received excoriating reviews,?????????????
gainsay,??,Certainly there's no gainsaying (= it is not possible to doubt) the technical brilliance of his performance,???????????????
harangue,??,A drunk in the station was haranguing passers-by,?????????????
impugn,??,Are you impugning my competence as a professional designer?,??????????????????
inveigh ,??,There were politicians who inveighed against immigrants to get votes,?????????????????
lambaste,??,His first novel was well and truly lambasted by the critics,?????????????????
objurgate,??,,
obloquy,????,His controversial essays have brought him much obloquy,??????????????????
opprobrium,??,International opprobrium has been heaped on the country following its attack on its neighbours,???????????????????
pillory,??,"Although regularly pilloried by the press as an obnoxious loudmouth, he is, nonetheless, an effective politician",???????????????????????????????????
rebuke,??,I was rebuked by my manager for being late,?????????????
remonstrate,??,I went to the boss to remonstrate against the new rules,????????????????
reprehend,??,The agency was reprehended for taking on average two years to deal with complaints,?????????????????????
reprove,??,The teacher gently reproved the boys for not paying attention,????????????????????
revile,??,The judge was reviled in the newspapers for his opinions on rape,??????????????????????
tirade,???????,She launched into an angry/furious tirade about how she had been unfairly treated,????????????????????????
vituperate/vituperation,??,The personal vituperation merely illustrated his general contempt for everything and everybody,????????????????????????
ailing,?????,the country's ailing economy,????????
convalesce,??,"After your operation, you'll need to convalesce for a week or two",?????????????
nauseous,??,Roller coasters make me feel nauseous,?????????
enfeeble,???,,
recuperate,??,She spent a month in the country recuperating from/after the operation,?????????????
reminiscent,?????,That song is so reminiscent of my adolescence,??????????????????
salubrious,?????/???,He doesn't live in a very salubrious part of town,?????????????????
salutary,???,a salutary experience,?????
pungent,???,the pungent whiff of a goat,?????????
odorous,??,The chlorine dioxide neutralizes the odorous sulphur compounds,?????????????????
evocative,??????,a sound evocative of the sea,??????????
truculent/truculence,???,He was truculent and difficult to deal with,??????????
panegyrical/panegyric,???,Hill had published a panegyrical poem on Peter the Great,?????????????????
disquiet,??,The leader's decline in popularity is causing disquiet among supporters,????????????????
ebullient,?????,He wasn't his usual ebullient self,?????????????????????
phlegmatic,??,"As a football player, his great asset was his calm, phlegmatic manner",????????????????????????????
preposterous,???,The very idea is preposterous,???????
timorous,???,,
vacillate,??,Her mood vacillated between hope and despair,??????????????
resigned,?????,a resigned look/expression/tone,?????????????
waver/wavering,??,"He spoke in a wavering voice, as if he were not sure of his ground",????????????????????????
deplore,???/??,We deeply deplore the loss of life,???????????
catholic,???,As a young person he had more catholic tastes than he does now,????????????????
eclectic,??/?????,an eclectic style/approach,??????? ? ???????
savoury,?,a savoury dish/sauce/flavour,?????????????????
ambrosial/ambrosia,???,"Her jam was ambrosial, syrupy with honeyed fruit, and scented with elderflower",?????????????????????????????
apogee,??,"At their apogee, the novels of Spillane claimed worldwide sales of over $180 million",??????????????????????1.8??
encroachment,??,The new censorship laws are serious encroachments on freedom of expression,????????????????
apex,??,the apex of a triangle/pyramid,?????????????
eschew,??,We won't have discussions with this group unless they eschew violence,?????????????????????????
deprecate,??,We deprecate this use of company funds for political purposes,????????????????????
forgo,??,I shall have to forgo the pleasure of seeing you this week,?????????????????
bereave,????,Everyone who has been bereaved has to find his or her own way of coping,?????????????????????????
cadaver,??,,
defunct,????/???,members of a now defunct communist organization,???????????????
demise,??/??,The demise of the company was sudden and unexpected,?????????????
dolorous/dolor/dolour,???,,
elegy/elegiac,??,"Gray's ""Elegy in a Country Churchyard"" is a famous English poem",??????????????????
knell,?????,,
lament,???,The poem opens by lamenting (over) the death of a young man,?????????????????????
macabre,???,Even the police were horrified at the macabre nature of the killings,?????????????????
moribund,????,How can the department be revived from its present moribund state?,??????????????????????
obsequy,??,A vast congregation filled the cathedral for the final obsequies,?????????????????
sepulchral,?????,"The curtain rose to reveal a gloomy, sepulchral set for the play",??????????????????
wraith,??/??,He watched the misty wraiths of moisture making patterns on the window pane,???????????????????
abnegate/abnegation,??/??,to abnegate responsibility/guilt / They believe it is the duty of women to live for others in complete abnegation of themselves,??????/?? / ??????????????????????
abstain,??,He took a vow to abstain from alcohol/smoking/sex,????????? ??
ascetic,???,They live a very ascetic life,???????????
spartan,???,a spartan diet/meal,????????
stoic,?????,"We knew she must be in pain, despite her stoic attitude",???????????????????
temperate,???/????,,
authoritarian,???,His manner is extremely authoritarian,????????
despotic,???,a despotic government/regime,????/??
dogma/dogmatic,??/???/???,,
hegemonic,???,Now a different hegemonic power sought to force its will on the rest of the world,?????????????????????????
imperious,???,an imperious manner/voice,???????????
peremptory,???,He started issuing peremptory instructions,?????????????
tyrannical,???,a tyrannical leader/regime/political system,???????????
ambiguous,??,His reply to my question was somewhat ambiguous,???????????????
cryptic,???,I got a cryptic text message from Sam,?????????????????
enigma/enigmatic,???,The Mona Lisa has a famously enigmatic smile,?????????????
esoteric,???/??????,He has an esoteric collection of old toys and games,????????????????
inscrutable,?????,an inscrutable face/expression/smile,?????????????
opaque,????/????,I find her poetry a little too opaque,?????????? 
paradoxical/paradox,????/??,"It seems paradoxical to me, but if you drink a cup of hot tea it seems to cool you down",?????????????????????????
perplexing,????,They find the company's attitude perplexing and unreasonable,????????????????????
recondite,???,We had to work from material that was both complex and recondite,?????????????????????
turbid,???,Several different species of fish inhabit these turbid shallow waters,????????????????
defile,??,It's a shame that such a beautiful area has been defiled by a rubbish dump,????????????????????????
fetid,???,fetid air/breath,????????
invidious,?????,Such a difficult choice placed her in an invidious position,?????????????????????
noisome,?????,a noisome stench,??
putrid,???,the putrid body of a dead fox,????????
rebarbative,?????,Mathematics seems a rebarbative subject for literature,???????????????????
articulate,?????,an intelligent and highly articulate young woman,??????????????
cogent,?????,"Swayed by the cogent argument of the deense, the jury had no choice but to acquit the defendant",
eloquent,?????,She made an eloquent appeal for action,???????????????????
evident,???,The full extent of the damage only became evident the following morning,????????????????????????
limpid,??/??,limpid prose,???????
pellucid,??/??,He writes in pellucid prose,?????????
aberrant/aberration,???,"aberrant behaviour/sexuality / In a moment of aberration, she agreed to go with him",?????????? / ????????????????
anachronism,????????,"For some people, marriage is an anachronism from the days when women needed to be protected",??????????????????????????????????
discrete,???,These small companies now have their own discrete identity,??????????????
iconoclast,????,"Rogers, an iconoclast in architecture, is sometimes described as putting the insides of buildings on the outside",?????????????????????????????????????
abash,???,Her elder cousins abashed her by commenting on her shyness,????????????????????
compunction,??,I wouldn't have any compunction about telling him to leave,??????????????
contrition,??,He feels no contrition for what he did,?????????????
diffidence,????,The biggest difficulty is overcoming natural British diffidence,???????????????????
foible,??/???,We all have our little foibles,??????????
gaucherie,????,,
rue,???,,
equitable,?????,an equitable tax system,???????
equity,??/??,a society based on equity and social justice,???????????????????
tantamount,??????,Her refusal to answer was tantamount to an admission of guilt,??????????
canard,???/??,Most politicans do not want to be associated with the old canard that big government in Washington can solve all of American?s problems,
chicanery,??,The investigation revealed political chicanery and corruption at the highest levels,????????????????
dissemble,??,He accused the government of dissembling,?????????
duplicity,??/????,They were accused of duplicity in their dealings with both sides,???????????????????????
equivocate,????,"She accused the minister of equivocating, claiming that he had deliberately avoided telling the public how bad the problem really was",????????????????????????????????
erroneous,???,an erroneous belief/impression,????????
ersatz,???,"I'm allowed to eat ersatz chocolate made from carob beans, but it's a poor substitute for the real thing",?????????????????????????????????
fallacious,???,His argument is based on fallacious reasoning,?????????????????
feign,????,You know how everyone feigns surprise when you tell them how old you are,???????????????????????
guile,??/??,The president will need to use all her political guile to stay in power,????????????????????????
mendacious/mendacity,??,Some of these statements are misleading and some are downright mendacious,???????????????????
perfidy/perfidious,????,She described the new criminal bill as a perfidious attack on democracy,?????????????????
prevaricate,??,He accused the minister of prevaricating,?????????
specious,?????,a specious argument/claim,??????????
spurious,???,Some of the arguments in favour of shutting the factory are questionable and others downright spurious,?????????????????????????????
conjugal,???,conjugal happiness,?????
consanguine,????,,
distaff,???,Giro d'Italia femminile is the distaff version of the famed cycling race,?????????????????????????
endogamous,?????,,
filial,???,filial duty/respect/affection,???????????
fratricide,?????,,
progenitor,??,Marx was the progenitor of communism,????????????
scion,????,He's the scion of a very wealthy newspaper-publishing family,?????????????
ardor/ardent,???,an ardent supporter of Manchester United,?????????
doctrinaire,?????,He has a somewhat doctrinaire approach to running the company,??????????????
fervid/fervent/fervor,???,a fervent supporter of the communist party,?????????
partisan,??/???,"The audience was very partisan, and refused to listen to her speech",?????????????????
tendentious,?????/???,,
zealot/zeal,???,a religious zealot,??????
absolve,??/????,The report absolved her from/of all blame for the accident,??????????????????
acquit,????,She was acquitted of all the charges against her,?????????????????
exculpate,????,The pilot of the aircraft will surely be exculpated when all the facts are known,????????????????????????
exonerate,????,The report exonerated the crew from all responsibility for the collision,?????????????????????
expiate,??,to expiate a crime/sin,?????
palliate,??????,They tried to palliate the hardship of their lives,???????????
redress,??,"Most managers, politicians and bosses are men - how can women redress the balance",?????????????????????????????????????
chortle,????(????),She chortled with glee at the news,??????????????
droll,?????,a droll remark/expression/person,????????????
facetious,?????,facetious remarks / He's just being facetious,??????? / ????????
flippant,???,a flippant remark/attitude,????????
jibe/gibe,???,"Unlike many other politicians, he refuses to indulge in cheap jibes at other people's expense",?????????????????????
jocular,???,a jocular comment,?????
levity,??,a brief moment of levity amid the solemn proceedings,??????????
ludicrous,??/???,a ludicrous idea/suggestion,???????????
raillery,??,,
riposte,?????,She made a sharp/witty/neat riposte,??????????????
simper,??,She gave her teacher a simpering smile,??????????
abatement/abate,??,The tax abatement will save the business thousands of pounds,????????????
aperture,??,,
fissure,??,Geologists measure the width of the fissure regularly to monitor movement of the Earth?s plates in the area,
hiatus,??,The company expects to resume production of the vehicle again after a two-month hiatus,????????????????????
interregnum,?????,,
interstice,??,Theÿwallÿwasÿoldÿandÿcrumblingÿwithÿplantsÿgrowingÿin the intersticesÿbetween/in/ofÿtheÿbricks ,???????????????????? 
lull,???/??,There has been a lull in the fighting,??????????
orifice,?,The driver was bleeding from every orifice,??????
rent,??/??,There was a large rent in his parachute,????????????
respite,??,We worked for hours without respite,???????????????
rift,?? ,Theÿmarriageÿcausedÿa riftÿbetweenÿtheÿbrothersÿand they didn'tÿspeakÿto each other for tenÿyears ,??????????????????????????? 
beneficent,???,a beneficent aunt,?????
clement,??? ,It's very clement for the time of year,????????????????????
largesse/largess,?? ,Theÿmedicalÿfoundationÿwill be theÿmainÿbeneficiaryÿof the millionaire's largesse ,????????????????????????? 
Magnanimous/magnanimity,?????,"The team'sÿmanagerÿwas magnanimous inÿvictory, andÿpraisedÿtheÿlosingÿteam ",?????????????????????? 
philanthropic/philanthropy,???,He argues that corporate philanthropy transforms the culture of the firm concerned,????????????????????
unstinting,?? ,unstinting support/generosity,???????????? 
avaricious/avarice,???,The idea is to shift the bad debts of the avaricious and the greedy onto the shoulders of middle-class people,?????????????????????
covetous/covet,???,I can't help casting covetous looks at my neighbour's new Porsche,?????????????????
mercenary,???,He had some mercenary scheme to marry a wealthy widow,?????????????????
miserly,???,a miserly person,????
penurious/penury,???/???,,
rapacious,???,a rapacious landlord/businessman,????????
venal,???,a venal regime,?????
baleful,??,his baleful influence,??????
dour,?????,The normally dour Mr James was photographed smiling and joking with friends,????????????????????????
fell,???,,
malevolent,???/???,The central character is a malevolent witch out for revenge,?????????????
vitriolic,???,"He launched a vitriolic attack on the prime minister, accusing him of shielding corrupt friends",???????????????????????
baneful,???,He sought to remove his children from the baneful influences of the city,?????????????????
deleterious,???,These drugs have a proven deleterious effect on the nervous system,?????????????????
injurious,???,Too much alcohol is injurious to your health,????????
insidious,?????\???,High blood pressure is an insidious condition which has few symptoms,????????????????
minatory,???,This minatory approach hasn't scared children off hard drugs,?????????????????????
pernicious,?????,The cuts in government funding have had a pernicious effect on local health services,????????????????????????
cacophony,?????\??,As we entered the farmyard we were met with a cacophony of animal sounds,?????????????????????
din,???,the din of the traffic,??????
dissonant/dissonance,????/????,a dissonant combination of sounds,?????????
raucous,???,I heard the raucous call of the crows,????????????
abhorrence,??,She looked at him in/with abhorrence,???????
anathema,???????,"For older employees, the new system is an anathema",????????????????????????
antagonism/antagonize,??/??,There's a history of antagonism between the two teams / It's a very delicate situation and I've no wish to antagonize him,???????? / ???????????????????????
antipathy,??,"Despite the deep antipathies between them, the two sides have managed to negotiate an agreement",?????????????????????????
detestation,??,He looked at her with detestation,??????????
enmity,??,She denied any personal enmity towards him,?????????????
loathing,??,The thought of him touching her filled her with deep loathing,?????????????????
malice,??,There certainly wasn't any malice in her comments,???????????
odium,??,,
rancor,????,"They cheated me, but I feel no rancour towards/against them",????????????????????
beneficial,???,The improvement in sales figures had a beneficial effect/influence on the company as a whole,?????????????
dither,??,Stop dithering and choose which one you want!,???????????????
oscillate,????,The needle on the dial oscillated between full and empty,?????????????????????
teeter,??,Danielle was teetering around in five-inch heels,??????????????????????
antithetic,???,The idea that science is antithetical to the arts is wrong,???????????????
churlish,?????,They invited me to dinner and I thought it would be churlish to refuse,????????????????????
curmudgeon,???????,,
misanthropic,???,,
vindictive,????,"In the movie ""Cape Fear"", a lawyer's family is threatened by a vindictive former prisoner",????????????????????????????????
credulous,???,"Although some four-year-olds believe in the Easter Bunny, only the most credulous nine-year-olds also believe in him",
gullible,???,There are any number of miracle cures on the market for people gullible enough to buy them,???????????????????????????
ingenuous,???,It has to be said it was rather ingenuous of him to ask a complete stranger to take care of his luggage,??????????????????????????
naive,???,She was very naive to believe that he'd stay with her,???????????????
disingenuous,?????,It was disingenuous of her to claim she had no financial interest in the case,???????????????????????????
fulsome,?????,Her new book has received fulsome praise from the critics,???????????????
ostensible,????,"Their ostensible goal was to clean up government corruption, but their real aim was to unseat the government",????????????????????????
unctuous,?????,his unctuous manner/voice/smile,???????????????
appraise,??,"At the end of each teaching practice, trainee teachers are asked to appraise their own performance",?????????????????????????????
ascertain,??/??,The police have so far been unable to ascertain the cause of the explosion,???????????????
assay,??,,
descry,??,"Miss Bates, passing near the window, descried Mr Knightley on horseback not far off",?????????????????????????
peruse,??,He opened a newspaper and began to peruse the personal ads,????????????????
indolent,???,an indolent wave of the hand,?????
inert,???/????,"The inert figure of a man could be seen lying in the front of the car / The narrative is inert and sloppy, as if the author had been writing half-asleep",????????????????????? / ????????????????????????????
lackadaisical,?????,The food was nice enough but the service was somewhat lackadaisical,??????????????
languid,?????,a languid manner/voice,??????????
lassitude,??,Shareholders are blaming the company's problems on the lassitude of the CEO,?????????????????????
lethargic,?????,I was feeling tired and lethargic,????????????
quiescent,???,The political situation was now relatively quiescent,??????????
slothful,???,slothful adolescents,??????
torpid,???,"If you have a sudden loss of cabin pressure at 20,000 feet, passengers will become torpid and then lose consciousness",?????????????????????????????????
adventitious,???,an adventitious event/situation,?????????
amulet,???,,
auspicious,???,They won their first match of the season 5?1 which was an auspicious start/beginning,????????????????????????????
fortuitous,????(???),The timing of the meeting is certainly fortuitous,????????????
kismet,??,"It must have been kismet. A few months after accepting the commission, she learned she would be having a baby",?????????????????????????????
optimum,???,A mixture of selected funds is an optimum choice for future security and return on investment,???????????????????????????
portentous,?????/???,The problem with the book is that it sometimes descends into portentous philosophizing / The report contains numerous portentous references to a future environmental calamity,??????????????????????? / ??????????????????????
propitiate,???,In those days people might sacrifice a goat or sheep to propitiate an angry god,??????????????????????????????
propitious,???,"With the economy in recession, it was not a propitious time to start a company",?????????????????????
providential,???,a providential opportunity,????
talisman,???,,
tarnish,??,By this time a series of scandals had severely tarnished the candidate's image/reputation,???????????????????????????
ridicule,??,She was treated with scorn and ridicule by her colleagues when she applied for the job,?????????????????????
meager/meagre,???,a meagre salary,?????
delicacy,??/??/??/??,"In some parts of the world, sheep's eyes are considered a great delicacy / He raised the matter with great delicacy / Because of their great delicacy, the books cannot be moved / We admired the delicacy of her brush strokes",?????????????????????? / ??????????? / ???????????????? / ??????????????
hardiness,??/???,"He credits his hardiness to his childhood in the small farming community where he grew up / Many places used elm trees almost exclusively, for their hardiness and classic beauty",??????????????????? / ??????????????????????????
anecdotal/anecdote,???,anecdotal evidence,????????
ostentatious,??/???,They criticized the ostentatious lifestyle of their leaders,??????????????
orotund,???,,
deadpan,???,a deadpan expression/voice,??????????
manifest,??/?????,The workers chose to manifest their dissatisfaction in a series of strikes / manifest lack of interest,?????????????????? / ???????
dilapidation,??,a state of dilapidation,????
radiance,????,He was struck by the radiance of her smile,??????????
sensationalize,?????,They were accused of sensationalizing the story,?????????????
intriguing,?????,an intriguing possibility/question,????????????
sanguine,???,They are less sanguine about the prospects for peace,???????????
arrogate,??,They arrogate to themselves the power to punish people,????????
disdain,??,He regards the political process with disdain,??????????????
muggy,??????,,
brisk,??/????,a brisk walk,?????
torrid,??/???,the torrid heat of August / a torrid romance,????? / ?????
crisp,???,,
august,?????,"the society's august patron, the Duke of Norfolk",????????????????
quaint,???,a quaint old cottage,?????????
upend,??,She upended the chessboard halfway through the game because she was losing,????????????????????
deflect,???,The prime minister deflected mounting criticism today by announcing tax cuts,???????????????????????
purge,??,Party leaders have undertaken to purge the party of extremists,??????????????????
chafe,??/???,We have been chafing under petty regulations for too long,??????????????????
irksome,??,The vibration can become irksome after a while,???????????????
unfettered,?????,Poets are unfettered by the normal rules of sentence structure,??????????????
unscrupulous,????,an unscrupulous financial adviser,???????????
confected,???,,
bigotry,??,religious/racial bigotry,???????
plunder,??,"After the president fled the country, the palace was plundered by soldiers",????????????????
skulduggery,??,,
probity,??,Her probity and integrity are beyond question,?????????????
admonish ,??/?,His mother admonished him for eating too quickly / Her teacher admonished her to work harder for her exams,???????????? / ????????????????????
belabor,?????,There's no need to belabour the point,?????????
cavil,????,,
enjoin,??,We were all enjoined to be on our best behaviour,?????????????
exhort,??,The governor exhorted the prisoners not to riot,??????????
hector,??,,
martinet,????????,,
reproof,??,She got a sharp reproof for being late,??????????
noxious,(??)???,They died from inhaling noxious fumes / a noxious smell/influence,?????????? / ???????????
